Portfolia,http://www.portfolia.com/,http://www.linkedin.com/company/portfolia,[],[u'Financial Services'],USA
Degordian,http://www.degordian.com,http://www.linkedin.com/company/degordian,"[u'Daniel Ackermann', u'Tomislav Grubi\u0161i\u0107']","[u'Performance Marketing', u'Advertising', u'Social Media']",HRV
Skymet Weather Services,http://www.skymet.net/,http://www.linkedin.com/company/skymet-weather-services,[],[u'Environmental Innovation'],IND
Ledbury,http://ledbury.com,http://www.linkedin.com/company/ledbury,"[u'Paul Watson', u'Paul Trible']","[u'Mens Specific', u'Shopping', u'Retail']",USA
Growl Media,http://growlmedia.com/,http://www.linkedin.com/company/growl-media,[],[u'E-Commerce'],ARE
Improvonia,http://www.improvonia.com,http://www.linkedin.com/company/5018631,"[u'Konstantin Zvereff', u'Jagmohan Bansal']","[u'Hospitality', u'Mobile Commerce', u'Restaurants', u'Mobile', u'Wholesale', u'E-Commerce']",USA
Skyrobotic,http://www.skyrobotic.com,,[],"[u'Development Platforms', u'Manufacturing', u'Market Research']",ITA
Memorado,http://www.memorado.com,http://www.linkedin.com/company/5043633,"[u'Marius Luther', u'Marius Jeuck']","[u'Education', u'Games']",DEU
Andrew Alliance,http://andrewalliance.com,http://www.linkedin.com/company/2683423,[],"[u'Robotics', u'Business Services', u'Life Sciences']",CHE
Indus Insights,http://www.indusinsights.com/,http://www.linkedin.com/company/indus-insights,[],[u'E-Commerce'],IND
Metanautix,http://metanautix.com,http://www.linkedin.com/company/metanautix,[u'Theo Vassilakis'],"[u'Big Data Analytics', u'Analytics']",USA
MemBlaze,http://memblaze.com,,[u'Xuebing Yin'],"[u'Manufacturing', u'Hardware']",CHN
Zealot Networks,http://zealotnetworks.com/,,"[u'Chad Seymour', u'Conn Fishburn', u'Bob Vanech', u'Danny Zappin']","[u'Business Services', u'Digital Media', u'Media']",USA
Ynsect,http://www.ynsect.com/,http://www.linkedin.com/company/ynsect,[],"[u'Nutraceutical', u'Nanotechnology', u'Biotechnology']",
Everstring,http://everstring.com,http://www.linkedin.com/company/everstring-technology,[u'Vincent Yang'],[u'Consumers'],USA
Luma Resources,http://Lumaresources.com,,[],[],USA
Twizoo,http://www.twizoo.com,,"[u'John Talbott', u'Madeline Parra']","[u'Reviews and Recommendations', u'Twitter Applications', u'Restaurants', u'Mobile']",
Oh My Glasses,http://www.ohmyglasses.jp/,,[],[u'E-Commerce'],JPN
Haha Pinche,http://www.hahapinche.com/,,[],"[u'Cars', u'Payments', u'Apps']",CHN
IsoPlexis,http://isoplexis.com/,http://www.linkedin.com/company/isoplexis-inc-,[u'Kara Brower'],[u'Biotechnology'],USA
Helpling,http://www.helpling.de/,http://www.linkedin.com/company/helpling,"[u'Philip Huffmann', u'Benedikt Franke']","[u'Curated Web', u'Service Providers', u'Home & Garden']",DEU
Eaze,http://www.eazeup.com/,,[u'Keith McCarty'],"[u'Cannabis', u'Mobile Commerce']",USA
1006.tv,http://www.1006.tv/,,[u'Wang Ning'],"[u'Media', u'Games']",CHN
Horizon Oilfield Services,http://horizonofs.com/,,[],"[u'Water', u'Oil and Gas', u'Waste Management']",
Skeleton Technologies,http://skeletontech.com,http://www.linkedin.com/company/skeleton-technologies-ltd.,[],[u'Manufacturing'],EST
Edaixi,http://www.edaixi.com/,,[u'Wenyong Lu'],"[u'China Internet', u'Services', u'Internet']",CHN
Dianwoba,http://www.dianwoba.com/,,[],"[u'Local Search', u'Service Providers', u'Local', u'E-Commerce']",CHN
Cold Genesys,http://coldgenesys.com/,https://www.linkedin.com/company/cold-genesys,[u'Paul DeRidder'],[u'Biotechnology'],USA
Bluegrass Vascular Technologies,http://bluegrassvascular.com/,,[u'John Gurley'],"[u'Diabetes', u'Medical Devices', u'Medical']",USA
Flexport,https://www.flexport.com/,http://www.linkedin.com/company/flexport,[u'Ryan Petersen'],"[u'Shipping', u'Logistics', u'Enterprise 2.0', u'Shipping Broker Industry', u'Insurance', u'Supply Chain Management', u'Software Compliance', u'Enterprise Software']",USA
Jet,http://www.jet.com/,http://www.linkedin.com/company/jet-com,"[u'Mike Hanrahan', u'Nate Faust', u'Marc Lore']","[u'Online Shopping', u'Retail', u'E-Commerce']",USA
Secusmart,http://www.secusmart.com/en,,[],"[u'Mobile Security', u'Security']",DEU
Linas Matkasse,http://www.linasmatkasse.se,,[],"[u'Marketplaces', u'Groceries', u'Recipes']",
LQ3 Pharmaceuticals,http://www.lq3pharma.com/,,[],[u'Biotechnology'],USA
Avenida,http://www.avenida.com.ar,https://www.linkedin.com/company/avenida-com,"[u'Alan Kraus', u'Fede Malek', u'Pablo Casarino', u'Santiago Bilinkis', u'Andy Freire']","[u'Online Shopping', u'Retail', u'E-Commerce']",ARG
Emulate,http://emulatebio.com,,[],"[u'Chemicals', u'Agriculture', u'Medical']",
ETC Education,http://www.educatablet.com/,,"[u'Santiago Torres', u'Carlos Colmenares', u'Noraeden Mora']","[u'EdTech', u'Education']",GBR
Peel-Works,http://peel-works.com,http://www.linkedin.com/company/peel-works,[],[u'Human Resources'],IND
Trulymadly.com,http://trulymadly.com,,[u'Hitesh Dhingra'],[u'Online Dating'],
Mapi Pharma,http://www.mapi-pharma.com,http://www.linkedin.com/company/5229663,[],[u'Pharmaceuticals'],ISR
Leevice,http://www.leevice.com,,[u'Seitaro Arakaki'],"[u'Networking', u'High School Students']",JPN
PakWheels.com,http://www.pakwheels.com,,"[u'Muhammad Raza Saeed', u'Hanif Bhatti']",[u'Communities'],PAK
ApplePie Capital,http://www.applepiecapital.com,http://www.linkedin.com/company/applepie-capital,"[u'Steve Pelletier', u'Denise Thomas']",[u'Financial Services'],USA
Vouch Financial,http://vouch.com,https://www.linkedin.com/company/vouch,"[u'Hugh Olliphant', u'Sue Korn', u'Yee Lee']",[u'Financial Services'],
"Anews, Inc.",http://www.anews.com,,[],"[u'News', u'Social Network Media', u'Blogging Platforms', u'Social Media']",USA
Harpoon Medical,http://www.harpoonmedical.com/,http://www.linkedin.com/company/harpoon-medical-inc-,[u'James Gammie'],[u'Medical Devices'],USA
hovelstay.com,http://hovelstay.com/,http://www.linkedin.com/company/hovelstay,[u'Michael Bolger'],"[u'Marketplaces', u'Startups', u'Hospitality', u'Online Travel', u'Travel', u'Adventure Travel', u'Travel & Tourism']",USA
Appeon Corporation,http://www.appeon.com,http://www.linkedin.com/company/99031,[u'Armeen Mazda'],[u'Enterprise Software'],HKG
Checkr,https://checkr.com/,,"[u'Jonathan Perichon', u'Daniel Yanisse']","[u'Startups', u'Developer APIs', u'Software', u'Legal']",USA
Alert Media,http://www.alertmedia.com,http://www.linkedin.com/company/3582832,[u'David Godwin'],"[u'Healthcare Services', u'Mass Customization', u'Services', u'Technology']",USA
Lanetix,http://www.lanetix.com,http://www.linkedin.com/company/lanetix,"[u'Natasha Oxenburgh', u'John Golob', u'Aaron Sasson', u'Troy Goode']","[u'Logistics', u'Business Productivity', u'CRM', u'Transportation']",USA
Physiq,http://physiq.com,http://www.linkedin.com/company/vgbio,"[u'Matt Pipke', u'Gary Conkright']","[u'Health Care', u'Health and Wellness']",USA
Insureon,http://www.insureon.com/,http://www.linkedin.com/company/insureon,[u'Jim Cochran'],[u'Insurance'],USA
Trello,http://trello.com,,"[u'Michael Pryor', u'Joel Spolsky']","[u'Apps', u'Project Management']",USA
Hypori,http://www.hypori.com/,https://www.linkedin.com/company/4819761?trk=vsrp_companies_res_name&trkInfo=VSRPsearchId%3A1806371491420831959573%2CVSRPtargetId%3A4819761%2CVSRPcmpt%3Aprimary,"[u'Brian Vetter', u'Justin Marston']","[u'Virtualization', u'Mobility', u'Software']",USA
