txtsmarter,http://www.txtsmarter.com,http://www.linkedin.com/company/3497473,"[u'Roger Sanford', u'Tom Harper', u'Nuri Otus']","[u'Android', u'iOS', u'Enterprise Software', u'Mobile']",USA
eHealthDirect,http://ehealthdirect.net/,,[],"[u'E-Commerce', u'Health Care']",USA
Distractify,http://distractify.com,http://www.linkedin.com/company/distractify,"[u'Yosef Lerner', u'Quinn Hu']",[u'News'],USA
Riffsy,https://www.riffsy.com/,http://www.linkedin.com/company/3815701,"[u'Frank Nawabi', u'Erick Hachenburg', u'David McIntosh']","[u'Messaging', u'Social Media', u'Video']",USA
FaceFirst (Airborne Biometrics),http://facefirst.com,,[u'Joseph Rosenkrantz'],[u'Software'],USA
Trufa,http://trufa.net,,"[u'Guenther Tolkmit', u'Andreas Mielke', u'Ralph Treitz']",[u'Analytics'],DEU
BeSmart,http://besmart.net,,[u'Alexander Knyazev'],"[u'Content', u'Social Network Media', u'Education']",RUS
Resinate Corporation,http://www.resinatecorp.com,,[u'Christopher Poirier'],[u'Manufacturing'],USA
Juno Therapeutics,http://junotherapeutics.com,http://www.linkedin.com/company/juno-therapeutics,"[u'Michel Sadelain', u'Isabelle Rivi\xe8re', u'Stan Riddell', u'Michael Jensen', u'Phil Greenberg', u'Renier Brentjens']","[u'Health and Wellness', u'Health Care', u'Biotechnology']",USA
AeroDron,http://www.aerodron.com,,"[u'Mascia Foschi', u'Giorgio Ugozzoli', u'Fausto Ugozzoli']","[u'Drones', u'Curated Web', u'Aerospace']",ITA
Playnery,http://www.playnery.com,,[u'Henry Park'],[u'Games'],KOR
Azanda,http://www.azanda.com/,https://www.linkedin.com/company/9482291,[],[u'Information Technology'],FRA
LIVELENZ,http://www.livelenz.com,http://www.linkedin.com/company/livelenz,[],"[u'Predictive Analytics', u'Incentives', u'Real Time', u'Employment', u'Human Resources', u'Gamification', u'Consumer Electronics', u'Software']",CAN
Grokker,http://grokker.com,https://www.linkedin.com/company/3048734?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A3-1-7%2CtarId%3A1429294464479%2Ctas%3Agrokker,[u'Lorna Borenstein'],"[u'Video', u'Health and Wellness']",USA
edupristine,http://edupristine.com,http://www.linkedin.com/company/edupristine,"[u'Sarita Chand', u'Pawan Prabhat', u'Atul Kumar']","[u'Corporate Training', u'Education']",IND
RenRen Headhunting,http://rrlt.com,,[u'Yuhao Wang'],"[u'Recruiting', u'Curated Web', u'Web Development', u'Crowdsourcing']",CHN
txtsmarter,http://www.txtsmarter.com,http://www.linkedin.com/company/3497473,"[u'Roger Sanford', u'Tom Harper', u'Nuri Otus']","[u'Android', u'iOS', u'Enterprise Software', u'Mobile']",USA
eHealthDirect,http://ehealthdirect.net/,,[],"[u'E-Commerce', u'Health Care']",USA
Distractify,http://distractify.com,http://www.linkedin.com/company/distractify,"[u'Yosef Lerner', u'Quinn Hu']",[u'News'],USA
Riffsy,https://www.riffsy.com/,http://www.linkedin.com/company/3815701,"[u'Frank Nawabi', u'Erick Hachenburg', u'David McIntosh']","[u'Messaging', u'Social Media', u'Video']",USA
FaceFirst (Airborne Biometrics),http://facefirst.com,,[u'Joseph Rosenkrantz'],[u'Software'],USA
Trufa,http://trufa.net,,"[u'Guenther Tolkmit', u'Andreas Mielke', u'Ralph Treitz']",[u'Analytics'],DEU
BeSmart,http://besmart.net,,[u'Alexander Knyazev'],"[u'Content', u'Social Network Media', u'Education']",RUS
Resinate Corporation,http://www.resinatecorp.com,,[u'Christopher Poirier'],[u'Manufacturing'],USA
Grokker,http://grokker.com,https://www.linkedin.com/company/3048734?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A3-1-7%2CtarId%3A1429294464479%2Ctas%3Agrokker,[u'Lorna Borenstein'],"[u'Video', u'Health and Wellness']",USA
Auspherix,http://auspherix.com,,[u'Ian Charles'],[u'Health Care'],NOR
edupristine,http://edupristine.com,http://www.linkedin.com/company/edupristine,"[u'Sarita Chand', u'Pawan Prabhat', u'Atul Kumar']","[u'Corporate Training', u'Education']",IND
RenRen Headhunting,http://rrlt.com,,[u'Yuhao Wang'],"[u'Recruiting', u'Curated Web', u'Web Development', u'Crowdsourcing']",CHN
Wunder,http://www.wunder.org,https://www.linkedin.com/company/wundercar-mobility-services-gmbh,[u'Gunnar Froh'],"[u'Ride Sharing', u'Marketplaces', u'Apps', u'Mobile Commerce', u'Emerging Markets', u'Mobility', u'Transportation', u'Public Transportation']",DEU
Covasoft,http://www.covasoft.com/,,[],[u'Software'],
AdCamp,http://adcamp.ru/,,[],[u'Advertising'],RUS
