Name,HomePage URL,LinkedIn Page,Founders,Category,Country,,
Performaworks,http://www.performaworks.com/,,,Software,USA,,
T-cellic,http://www.t-cellic.com/,,,Biotechnology,DNK,,
Legend Films,http://www.legendfilms.net/,https://www.linkedin.com/company/legend-films,,Entertainment,USA,,
Chronogen,http://www.chronogen-inc.com,,,Biotechnology,CAN,,
NetWolves,http://www.netwolves.com/,,,Network Security,USA,,
CashWorks,http://cashworksinc.com/,,Ken Rees,Services,USA,,
Zoologic,http://www.zoologic.com,,,Internet,USA,,
Interlink Networks,http://www.interlinknetworks.com/,https://www.linkedin.com/company/interlink-networks,,Network Security,USA,,
Am-Beo,http://www.am-beo.com,,,,IRL,,
Captive Capital,http://www.captivecorp.com/,,,Services,USA,,
Finatus,http://www.finatus.com,,,Health Care,USA,,
BuildLinks,http://www.buildlinks.com/,https://www.linkedin.com/company/buildlinks,,Software,USA,,
Pintex Pharmaceuticals,http://www.pintexpharm.com,,,Pharmaceuticals,USA,,
Whizz,https://whizztechnologies.com.au/,https://www.linkedin.com/company/6383704?trk=prof-exp-company-name,Mark Bernberg,Computer Vision,PHL,,
Celvibe,http://celvibe.com/,,,Technology,USA,,
Xporta,http://www.xporta.com/,,,,USA,,
AP Engines,http://www.apengines.com,,,,USA,,
Finali,http://finali.com,,,,USA,,
FlightTime,https://www.flighttime.com/,,,Online Scheduling,USA,,
Maaya,http://www.maaya.com,,,,,,
Adir Technologies,http://www.adirtech.com,,,,USA,,
Nanostream Inc.,http://www.nanostream.com/,,,Medical Devices,USA,,
OfficeCloud,http://www.officecloud.in,,"Ajay Gupta, Vijay Gupta, Nilesh Thorve",,IND,,
Near,http://www.near.co,https://www.linkedin.com/company/-near?trk=company_logo,Anil Mathews,"Business Intelligence, Analytics, Location Based Services, Multi-level Marketing, Mobile Advertising",GBR,,
Accompany,https://www.accompany.com,http://www.linkedin.com/company/accompany,"Matthias Ruhl, Amy Chang, Ryan McDonough","3D, Technology, Social Media",USA,,
Ness Display Corp,http://www.ness.co.kr/,,,Technology,KOR,,
Smart Trade Technologies,http://www.smart-trade.net/,https://www.linkedin.com/company/78009?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-2%2CtarId%3A1433925672607%2Ctas%3Asmarttrade,"David Vincent, Harry Gozlan",Software,FRA,,
Vigilante,http://www.bestbrooklynplumber.com/,,,,USA,,
Lara Networks,http://www.laranetworks.com,,,,USA,,
Rapid5 Networks,http://www.rapid5.com,,,,,,
Cybergnostic,http://www.cybergnostic.net/,,,Service Providers,USA,,
Network Photonics,http://www.networkphotonics.com,,,,USA,,
Inspired Capital plc,https://www.inspiredcapitalplc.com,,,Business Services,GBR,,
Comedy World,http://www.comedyworld.com,,,Entertainment,USA,,
ELabsEurope,http://www.elabseurope.com,,,,,,
Villagenetworks,http://www.villagenetworks.com,,,Technology,USA,,
Thap!,http://www.thap.net,,,,,,
Nexgenix,http://www.nexgenix.com,,,Services,USA,,
CcRewards,http://www.ccrewards.com,,,,,,
SANcastle Technologies,http://www.sancastle.com,,,Technology,USA,,
iVita,http://www.ivita.com,,,,,,
Cognigine,http://www.cognigine.com,,,,,,
TechTrader,http://www.techtrader.com,,,Internet,,,
RedSiren,http://www.redsiren.com,,,Security,USA,,
BattellePharma,http://www.battellepharma.com,,,Pharmaceuticals,USA,,
